module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Guardrails Engineering,gre-setup,Installa Guardrails Engineering,GS,"Registra Guardrails, le quattro figure, le stanze tematiche di party mode e le voci di help. Non crea la memoria condivisa.",configure,[-H],anytime,,gre-profile:profile,true,{project-root}/_bmad,"sezione grl nel config, roster, bmad-party-mode.toml e voci in module-help.csv"
Guardrails Engineering,gre-profile,Profila il progetto,GP,"Raccoglie in pochi minuti gli otto campi che danno contesto a tutte e quattro le figure, criticità inclusa.",profile,,1-analysis,gre-setup:configure,,true,{project-root}/_bmad/memory/grl-shared,project-profile.md
Guardrails Engineering,gre-profile,Aggiorna il profilo,GA,"Riallinea il profilo quando il progetto cambia, e dice se il cambiamento invalida rischi già accettati.",update-profile,,anytime,gre-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,project-profile.md aggiornato
Guardrails Engineering,gre-board,Convoca il collegio,GB,"Fa leggere lo stesso artefatto alle sole figure pertinenti e restituisce un riepilogo unico, conflitti compresi.",review,[path],anytime,gre-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,"riepilogo in conversazione, righe in decisions.md e accepted-risks.md"
Guardrails Engineering,gre-board,Rischi già accettati,GR,"Mostra, raggruppato per figura, quello che il progetto ha consapevolmente scelto di accettare.",accepted-risks,,anytime,gre-profile:profile,,false,{project-root}/_bmad/memory/grl-shared,elenco in conversazione
Guardrails Engineering,gre-board,Gate di rilascio,GG,"Verifica una release identificata e restituisce GO, GO_CON_CONDIZIONI, NO_GO o EVIDENZA_INSUFFICIENTE.",release-gate,[path],anytime,gre-profile:profile,,false,{output_folder}/release-gates,{release_slug}-{gate_started_at_utc}.md
Guardrails Engineering,grl-agent-security,Kai — sicurezza applicativa,GK,"I modi realistici in cui il sistema verrebbe bucato, ordinati per probabilità, con la contromisura minima.",consult,,anytime,gre-profile:profile,,false,,"threat model leggero, authN/authZ, segreti, CVE, revisione OWASP mirata, superficie AI"
Guardrails Engineering,grl-agent-architecture,Otto — architettura del codice,GO,"Confini fra moduli, direzione delle dipendenze e il numero minimo di strati che il problema richiede.",consult,,anytime,gre-profile:profile,,false,,"mappa dei confini, dipendenze invertite, astrazioni da togliere, collocazione di una feature"
Guardrails Engineering,grl-agent-ops,Bruno — infrastruttura e ops,GX,"L'impianto più semplice che regge il carico vero, con una via di ritorno da ogni cambiamento.",consult,,anytime,gre-profile:profile,,false,,"dimensionamento, server e SSH, Docker e Kubernetes, segreti, deploy e rollback, backup, osservabilità"
Guardrails Engineering,grl-agent-ai,Enzo — applicazioni con AI,GE,"L'impianto minimo che regge quando il modello sbaglia — e la domanda se serva davvero un modello.",consult,,anytime,gre-profile:profile,,false,,"serve davvero un LLM, RAG, orchestrazione, agenti e tool, output affidabile, eval, costi e latenza, automazioni"
